host_name,borough,room_type
John,Brooklyn,Private_room
Laura,Manhattan,Entire_home
Alina,Manhattan,Entire_home
Yolande,Brooklyn,Private_room
Petra,Manhattan,Entire_home
Anna,Manhattan,Entire_home
Starlee,Brooklyn,Entire_home
Christiana,Brooklyn,Entire_home
Elliott,Manhattan,Private_room
Shelly,Brooklyn,Entire_home
Brenda,Brooklyn,Entire_home
Erik,Brooklyn,Entire_home
Dani,Brooklyn,Entire_home
Vero,Brooklyn,Entire_home
Kay,Brooklyn,Private_room
Elisabeth,Brooklyn,Entire_home
Paz,Brooklyn,Entire_home
Viviana,Brooklyn,Entire_home
Sarah,Brooklyn,Entire_home
Campbell,Manhattan,Entire_home
Jason,Manhattan,Private_room
Sally,Brooklyn,Private_room
Blanca,Manhattan,Entire_home
Cynthia,Manhattan,Private_room
Helene,Brooklyn,Private_room
Share,Manhattan,Private_room
Ellis,Brooklyn,Entire_home
Leslie,Brooklyn,Entire_home
Sophie,Brooklyn,Entire_home
Famous,Brooklyn,Entire_home
Eduardo,Brooklyn,Entire_home
Peter Michael,Manhattan,Entire_home
Chas,Manhattan,Entire_home
The Box House Hotel,Brooklyn,Private_room
Olivia,Manhattan,Entire_home
Andrey,Manhattan,Entire_home
LuLu,Brooklyn,Entire_home
Michael,Brooklyn,Entire_home
Orna,Brooklyn,Entire_home
Carolyn,Manhattan,Entire_home
M,Brooklyn,Private_room
Lucy,Queens,Private_room
Kimberly,Manhattan,Private_room
Andres,Brooklyn,Entire_home
Smadar,Brooklyn,Entire_home
Giancarlo,Manhattan,Entire_home
Daniel,Manhattan,Entire_home
Lisel,Brooklyn,Private_room
Jorin,Manhattan,Private_room
Kris,Brooklyn,Entire_home
Henry,Manhattan,Entire_home
Jennifer,Brooklyn,Entire_home
Jason,Queens,Entire_home
Village,Manhattan,Private_room
Mj,Brooklyn,Entire_home
Leslie,Manhattan,Entire_home
Melody,Brooklyn,Private_room
Anastasia,Manhattan,Entire_home
Erika,Brooklyn,Private_room
Simone,Manhattan,Entire_home
Brett,Brooklyn,Entire_home
Maya,Brooklyn,Entire_home
Nader,Manhattan,Private_room
Carmel,Staten Island,Private_room
Samuel,Brooklyn,Entire_home
Lisel,Brooklyn,Private_room
Deirdre,Manhattan,Private_room
