year,apt_type,price
2012,Studio,619535
2011,Studio,548727
2010,Studio,478970
2009,Studio,537432
2008,Studio,624493
2007,Studio,560061
2006,Studio,551097
2005,Studio,480088
2004,Studio,397945
2003,Studio,363859
2012,1Bedroom,933881
2011,1Bedroom,808937
2010,1Bedroom,733327
2009,1Bedroom,804582
2008,1Bedroom,906840
2007,1Bedroom,846985
2006,1Bedroom,800208
2005,1Bedroom,750108
2004,1Bedroom,632189
2003,1Bedroom,534456
2012,2Bedroom,1748145
2011,2Bedroom,1637277
2010,2Bedroom,1496871
2009,2Bedroom,1716571
2008,2Bedroom,2094454
2007,2Bedroom,1818130
2006,2Bedroom,1769925
2005,2Bedroom,1763309
2004,2Bedroom,1506772
2003,2Bedroom,1295438
2012,3Bedroom,3158610
2011,3Bedroom,3376591
2010,3Bedroom,3170497
2009,3Bedroom,3152081
2008,3Bedroom,4922937
2007,3Bedroom,4903628
2006,3Bedroom,3943217
2005,3Bedroom,3803912
2004,3Bedroom,3455836
2003,3Bedroom,2881973
2012,4+Bedroom,6972158
2011,4+Bedroom,6311258
2010,4+Bedroom,7032267
2009,4+Bedroom,6546582
2008,4+Bedroom,12221306
2007,4+Bedroom,8374792
2006,4+Bedroom,7361178
2005,4+Bedroom,10417628
2004,4+Bedroom,5994309
2003,4+Bedroom,5922222
