year,gender,count
1923,female,1
1924,female,4
1925,female,1
1926,female,7
1927,female,4
1928,female,5
1929,female,7
1930,female,6
1931,female,6
1932,female,3
1933,female,6
1934,female,3
1935,female,7
1936,female,5
1937,female,7
1938,female,2
1939,female,9
1940,female,3
1941,female,2
1942,female,1
1943,female,3
1944,female,1
1945,female,2
1946,female,6
1947,female,7
1948,female,7
1949,female,7
1950,female,2
1951,female,4
1952,female,6
1953,female,10
1954,female,2
1955,female,7
1956,female,2
1957,female,4
1958,female,3
1959,female,4
1960,female,4
1961,female,5
1962,female,3
1963,female,2
1964,female,5
1965,female,5
1966,female,4
1967,female,2
1968,female,4
1969,female,3
1970,female,5
1971,female,3
1972,female,4
1973,female,5
1974,female,5
1975,female,10
1976,female,8
1977,female,10
1978,female,5
1979,female,4
1980,female,2
1981,female,6
1982,female,5
1983,female,4
1984,female,10
1985,female,4
1986,female,5
1987,female,7
1988,female,6
1989,female,9
1990,female,8
1991,female,9
1992,female,7
1993,female,11
1994,female,7
1995,female,4
1996,female,12
1997,female,7
1998,female,6
1999,female,9
2000,female,8
2001,female,8
2002,female,11
2003,female,13
2004,female,12
2005,female,18
2006,female,7
2007,female,12
2008,female,8
2009,female,11
2010,female,8
2011,female,7
2012,female,3
2013,female,5
1923,male,34
1924,male,48
1925,male,51
1926,male,46
1927,male,49
1928,male,47
1929,male,45
1930,male,46
1931,male,45
1932,male,48
1933,male,44
1934,male,49
1935,male,44
1936,male,46
1937,male,49
1938,male,50
1939,male,42
1940,male,49
1941,male,50
1942,male,50
1943,male,49
1944,male,50
1945,male,50
1946,male,45
1947,male,44
1948,male,44
1949,male,45
1950,male,46
1951,male,46
1952,male,44
1953,male,41
1954,male,48
1955,male,44
1956,male,50
1957,male,45
1958,male,47
1959,male,46
1960,male,44
1961,male,45
1962,male,46
1963,male,47
1964,male,46
1965,male,42
1966,male,46
1967,male,47
1968,male,44
1969,male,40
1970,male,35
1971,male,43
1972,male,41
1973,male,39
1974,male,41
1975,male,36
1976,male,32
1977,male,37
1978,male,40
1979,male,38
1980,male,39
1981,male,26
1982,male,36
1983,male,39
1984,male,31
1985,male,33
1986,male,29
1987,male,32
1988,male,33
1989,male,31
1990,male,37
1991,male,30
1992,male,31
1993,male,30
1994,male,31
1995,male,31
1996,male,33
1997,male,31
1998,male,35
1999,male,35
2000,male,35
2001,male,31
2002,male,26
2003,male,33
2004,male,34
2005,male,25
2006,male,28
2007,male,32
2008,male,35
2009,male,25
2010,male,20
2011,male,24
2012,male,32
2013,male,21
