App name,City,Date,From,ID,Latitude,Longitude,Number of Records,Pick up location,Price,State,To,Zip
Via,New York City,2/15/19 4:02,Work,1,40.7438,-73.98462,1,37 East 28th Street,19.97,NY,Home,10016
Via,New York City,3/7/19 3:04,Work,2,40.743969,-73.983223,1,425 Park Ave S,24.47,NY,Home,10016
Via,New York City,3/7/19 23:53,Work,3,40.743969,-73.983223,1,425 Park Ave S,10.7,NY,Home,10016
Via,New York City,3/14/19 3:00,Work,4,40.7444,-73.98307,1,441 Park Ave S,10.28,NY,Home,10016
Via,New York City,4/13/19 4:44,Work,5,40.7444,-73.98307,1,441 Park Ave S,9.49,NY,Home,10016
Via,New York City,4/20/19 23:09,Work,6,40.73817,-73.984,1,280 Third Ave,12.65,NY,Home,10016
Via,New York City,5/5/19 0:43,Work,7,40.74508,-73.98506,1,100 Madison Ave,10.76,NY,Home,10016
Via,New York City,5/24/19 1:48,Work,8,40.74508,-73.98506,1,100 Madison Ave,9.04,NY,Home,10016
Via,New York City,6/8/19 5:07,Work,9,40.7444,-73.98307,1,441 Park Ave S,16.24,NY,Home,10016
Via,New York City,6/15/19 6:01,Work,10,40.743969,-73.983223,1,425 Park Ave S,12.98,NY,Home,10016
Via,New York City,6/20/19 3:58,Work,11,40.7444,-73.98307,1,441 Park Ave S,10.49,NY,Home,10016
Via,New York City,6/21/19 2:33,Work,12,40.743969,-73.983223,1,425 Park Ave S,10.49,NY,Home,10016
Via,New York City,6/23/19 20:08,Work,13,40.745369,-73.984528,1,121 Madison Ave,12.39,NY,Home,10016
Via,New York City,6/27/19 3:43,Work,14,40.7444,-73.98307,1,441 Park Ave S,11.22,NY,Home,10016
Via,New York City,6/29/19 8:30,Work,15,40.74211,-73.97821,1,531 Second Ave,11.09,NY,Home,10016
Via,New York City,7/11/19 3:26,Work,16,40.74508,-73.98506,1,100 Madison Ave,10.49,NY,Home,10016
Via,New York City,7/13/19 0:52,Work,17,40.743969,-73.983223,1,425 Park Ave S,14.21,NY,Home,10016
Via,New York City,7/14/19 20:16,Work,18,40.743969,-73.983223,1,425 Park Ave S,23.56,NY,Home,10016
Via,New York City,7/18/19 4:26,Work,19,40.743969,-73.983223,1,425 Park Ave S,10.49,NY,Home,10016
Via,New York City,7/20/19 4:33,Work,20,40.743969,-73.983223,1,425 Park Ave S,13.27,NY,Home,10016
Via,New York City,7/25/19 3:41,Work,21,40.7444,-73.98307,1,441 Park Ave S,11.71,NY,Home,10016
Via,New York City,8/17/19 4:51,Work,22,40.7444,-73.98307,1,441 Park Ave S,9.51,NY,Home,10016
Via,New York City,8/22/19 2:56,Work,23,40.743969,-73.983223,1,425 Park Ave S,7.57,NY,Home,10016
Via,New York City,9/5/19 2:46,Work,24,40.743969,-73.983223,1,425 Park Ave S,10.49,NY,Home,10016
Via,New York City,9/12/19 3:54,Work,25,40.7444,-73.98307,1,441 Park Ave S,10.49,NY,Home,10016
Via,New York City,9/19/19 2:51,Work,26,40.743969,-73.983223,1,425 Park Ave S,12.44,NY,Home,10016
Via,New York City,9/21/19 4:46,Work,27,40.743969,-73.983223,1,425 Park Ave S,14.52,NY,Home,10016
Via,New York City,9/28/19 4:39,Work,28,40.74289,-73.98196,1,129 Lexington Ave,13.27,NY,Home,10016
